"build","computer.platform","date","time","subject","group","blockcode","blocknum","trialcode","trialnum","parameters.immediateAmount","parameters.delayedAmount","values.trialCount","values.choiceNo","values.index","values.indexAdjustment","values.delayChoice","response","latency","values.ED50","values.k"
"5.0.14.0","win","051121","12:30:30","42","141927376","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","3641","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","12:30:30","42","141927376","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","now","2764","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","12:30:30","42","141927376","minuteDiscounting","1","choice","3","5","10","3","3","20","2","4 months","now","4389","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","12:30:30","42","141927376","minuteDiscounting","1","choice","4","5","10","4","4","18","1","2 months","delayed","4059","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","12:30:30","42","141927376","minuteDiscounting","1","choice","5","5","10","5","5","19","0.5","3 months","now","3911","74.56","0.0134"
"5.0.14.0","win","051121","06:37:28","50","285977513","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","2842","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","06:37:28","50","285977513","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","972","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","06:37:28","50","285977513","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","delayed","361","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","06:37:28","50","285977513","minuteDiscounting","1","choice","4","5","10","4","4","6","1","9hr","now","1486","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","06:37:28","50","285977513","minuteDiscounting","1","choice","5","5","10","5","5","5","0.5","6hr","now","606","0.2041","4.9"
"5.0.14.0","win","051121","09:47:14","54","919575683","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","48489","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:47:14","54","919575683","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","808","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:47:14","54","919575683","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","809","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:47:14","54","919575683","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","657","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:47:14","54","919575683","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","720","0.04167","24"
"5.0.14.0","win","051121","08:47:30","57","838866360","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","32260","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","08:47:30","57","838866360","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","3028","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","08:47:30","57","838866360","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","1074","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","08:47:30","57","838866360","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","15042","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","08:47:30","57","838866360","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","466","0.04167","24"
"5.0.14.0","win","050521","04:15:12","72","192911033","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","1383","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","04:15:12","72","192911033","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","delayed","321","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","04:15:12","72","192911033","minuteDiscounting","1","choice","3","5","10","3","3","28","2","8 years","delayed","304","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","04:15:12","72","192911033","minuteDiscounting","1","choice","4","5","10","4","4","30","1","18 years","delayed","209","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","04:15:12","72","192911033","minuteDiscounting","1","choice","5","5","10","5","5","31","0.5","25 years","now","39","7748","0.000129"
"5.0.14.0","win","051121","10:00:58","77","708142634","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","31156","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:00:58","77","708142634","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","471","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:00:58","77","708142634","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","2032","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:00:58","77","708142634","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","491","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:00:58","77","708142634","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","989","0.04167","24"
