"script.startdate","script.starttime","script.subjectid","script.groupid","script.elapsedtime","computer.platform","values.completed","parameters.immediateAmount","parameters.delayedAmount","values.ED50","values.k","expressions.meanRT"
"051121","12:30:30","42","141927376","31693","win","1","5","10","74.56","0.0134","3752.8000000000001818989"
"051121","06:37:28","50","285977513","54714","win","1","5","10","0.2041","4.9","1253.4000000000000909495"
"051121","09:47:14","54","919575683","91581","win","1","5","10","0.04167","24","10296.6000000000003637979"
"051121","08:47:30","57","838866360","97434","win","1","5","10","0.04167","24","10374"
"050521","04:15:12","72","192911033","11234","win","1","5","10","7748","0.000129","451.1999999999999886313"
"051121","10:00:58","77","708142634","115445","win","1","5","10","0.04167","24","7027.8000000000001818989"
"051121","09:02:01","80","272222174","74248","win","1","5","10","0.04167","24","6490.8000000000001818989"
"051121","09:03:56","62","933264771","31466","win","1","5","10","3579","0.000279","1419"
"051121","10:03:55","81","755867372","68700","win","1","5","10","0.04167","24","6256.8000000000001818989"
"051121","10:02:20","82","927227017","64252","win","1","5","10","25.28","0.0396","6686.1999999999998181011"
"051121","07:07:14","79","680045565","133528","win","1","5","10","5.292","0.189","15028"
"051121","09:56:45","58","270202353","789889","win","1","5","10","0.1021","9.79","154263.2000000000116415322"
"051121","09:09:55","104","247056292","71031","win","1","5","10","149.1","0.00671","7433.6000000000003637979"
"051121","09:08:43","99","811246138","216636","win","1","5","10","25.28","0.0396","26882.7999999999992724042"
"051121","10:13:14","110","163974413","34075","win","1","5","10","0.04167","24","4442.1999999999998181011"
"051121","10:13:48","132","916221930","12549","win","1","5","10","0.04167","24","898.7999999999999545253"
"050521","04:14:32","128","440792769","12618","win","1","5","10","894.7","0.00112","988.3999999999999772626"
"051121","07:14:37","119","5601420","51164","win","1","5","10","0.04167","24","5452.6000000000003637979"
"051121","10:14:41","133","751679784","53960","win","1","5","10","0.04167","24","7201.6000000000003637979"
"051121","10:14:53","129","958173294","65046","win","1","5","10","0.04167","24","2262.4000000000000909495"
"051121","10:18:04","145","740515121","19466","win","1","5","10","0.04167","24","1423"
"051121","10:18:26","142","248285519","56001","win","1","5","10","0.04167","24","6357.6000000000003637979"
"051121","10:18:55","126","665189049","54407","win","1","5","10","0.05893","17","7343"
"051121","09:20:37","150","742347810","28813","win","1","5","10","25.28","0.0396","3838.5999999999999090505"
"051121","15:20:12","140","233933346","54498","win","1","5","10","9131","0.00011","2908.1999999999998181011"
"051121","10:20:40","131","889420221","52755","win","1","5","10","0.04167","24","4793.1999999999998181011"
"051121","07:22:01","152","131549396","33801","win","1","5","10","0.04167","24","4067.1999999999998181011"
"051121","10:22:14","148","56786654","31106","win","1","5","10","0.04167","24","1277.2000000000000454747"
"051121","10:22:36","147","382769186","27516","win","1","5","10","0.04167","24","3585"
"050521","03:10:35","157","277070736","21479","win","1","5","10","894.7","0.00112","2765.1999999999998181011"
"051121","10:25:15","156","628988970","17511","win","1","5","10","0.04167","24","1317.7999999999999545253"
"051121","07:26:00","159","447879181","64027","win","1","5","10","0.04167","24","1274.4000000000000909495"
"051121","10:27:16","162","952080308","38875","win","1","5","10","25.28","0.0396","5423"
"051121","09:30:24","167","346991545","19570","win","1","5","10","0.04167","24","1050.2000000000000454747"
"051121","10:30:44","170","118210985","76967","win","1","5","10","1.225","0.816","12864.3999999999996362021"
"051121","07:30:29","163","894702402","130063","win","1","5","10","9131","0.00011","7088.3999999999996362021"
"051121","10:33:53","165","427582539","17992","win","1","5","10","0.04167","24","919.7999999999999545253"
"051121","07:36:05","178","444738424","14639","win","1","5","10","0.04167","24","1201.5999999999999090505"
"051121","10:37:01","175","536423669","19272","win","1","5","10","0.04167","24","1285.4000000000000909495"
"051121","10:38:04","186","835121960","15227","win","1","5","10","0.04167","24","1151.4000000000000909495"
"051121","10:39:17","185","297189000","13527","win","1","5","10","25.28","0.0396","974"
"051121","10:39:39","173","558507562","18094","win","1","5","10","0.04167","24","1112"
"051121","09:30:36","166","392235791","638348","win","1","5","10","9131","0.00011","125239.3999999999941792339"
"051121","15:41:29","189","192776168","19388","win","1","5","10","0.04167","24","1955"
"051121","10:42:17","188","620796170","83861","win","1","5","10","105.4","0.00949","12151.3999999999996362021"
"051121","15:42:11","193","319817236","140361","win","1","5","10","0.04167","24","24505.4000000000014551915"
"051121","15:41:55","187","869220298","187512","win","1","5","10","9131","0.00011","5285.1999999999998181011"
"050521","04:14:53","199","832675749","11180","win","1","5","10","0.1444","6.93","415.3999999999999772626"
"051121","10:44:39","200","5028002","27669","win","1","5","10","0.04167","24","758.7999999999999545253"
"051121","10:46:14","196","69221329","16467","win","1","5","10","25.28","0.0396","807.7999999999999545253"
"051121","04:45:59","184","832289747","88899","win","1","5","10","0.04167","24","5324"
"051121","10:47:52","197","48920917","25997","win","1","5","10","0.04167","24","2020.4000000000000909495"
"051121","10:48:35","209","850693203","30780","win","1","5","10","74.56","0.0134","2352.8000000000001818989"
"051121","15:49:37","204","935107238","15942","win","1","5","10","0.2041","4.9","1160.7999999999999545253"
"051121","07:50:07","208","610160911","25300","win","1","5","10","0.04167","24","2340.1999999999998181011"
"051121","09:43:47","220","360223186","12364","win","1","5","10","0.04167","24","803"
