date,time,group,script.subjectid,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency,stimulusnumber1,stimulusitem1,stimulusonset1,stimulusnumber2,stimulusitem2,stimulusonset2,stimulusnumber3,stimulusitem3,stimulusonset3,stimulusnumber4,stimulusitem4,stimulusonset4,stimulusnumber5,stimulusitem5,stimulusonset5,stimulusnumber6,stimulusitem6,stimulusonset6
51121,12:29:15,141927376,42,5.0.14.0,1,1,start,base_q,0,500,0,0,NA_n,0,7272,1,regular beer (4.5% ABV),5,1,non-alcoholic beer (0.0% ABV),5,1,or,5,1,Click on the answer of your choice,5,1,Which option would you prefer right NOW?,5,0,0,0
51121,12:29:15,141927376,42,5.0.14.0,1,2,start,check_NA,0,500,0,0,NA_n,0,8231,1,You chose non-alcoholic beer.       Please confirm your choice by again clicking on your chosen option.,3,1,regular beer (4.5% ABV),3,1,non-alcoholic beer (0.0% ABV),3,1,or,3,1,Click on the answer of your choice,3,1,Which option would you prefer right NOW?,3
51121,12:29:15,141927376,42,5.0.14.0,1,3,start,trial_n,0,500,0,0,beer_n,0,11809,1,regular beer (4.5% ABV)       and £ 1,4,1,non-alcoholic beer (0.0% ABV),4,1,Click on the answer of your choice,4,1,or,4,1,Which option would you prefer right NOW?,4,1,regular beer (4.5% ABV),11814
51121,12:29:15,141927376,42,5.0.14.0,1,4,start,check_finalE,0,500,0,0,NA,1,17894,1,You chose non-alcoholic beer.       Please confirm your choice by again clicking on your chosen option.,3,1,regular beer (4.5% ABV),3,1,non-alcoholic beer (0.0% ABV)       and £ 1,3,1,or,3,1,Click on the answer of your choice,3,1,Which option would you prefer right NOW?,3
51121,6:36:33,285977513,50,5.0.14.0,1,1,start,base_q,0,500,0,0,NA_n,0,2651,1,regular beer (4.5% ABV),0,1,non-alcoholic beer (0.0% ABV),0,1,or,0,1,Click on the answer of your choice,0,1,Which option would you prefer right NOW?,0,0,0,0
51121,6:36:33,285977513,50,5.0.14.0,1,2,start,check_NA,0,500,0,0,NA_n,0,36,1,You chose non-alcoholic beer.       Please confirm your choice by again clicking on your chosen option.,0,1,regular beer (4.5% ABV),0,1,non-alcoholic beer (0.0% ABV),0,1,or,0,1,Click on the answer of your choice,0,1,Which option would you prefer right NOW?,0
51121,6:36:33,285977513,50,5.0.14.0,1,3,start,trial_n,0,500,0,0,NA_n,1,15,1,regular beer (4.5% ABV)       and £ 0.1,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),15
51121,6:36:33,285977513,50,5.0.14.0,1,4,start,trial_n,0,500,0,0,beer_n,0,1353,1,regular beer (4.5% ABV)       and £ 0.15,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),1353
51121,6:36:33,285977513,50,5.0.14.0,1,5,start,check_finalE,0,500,0,0,NA,1,326,1,You chose non-alcoholic beer.       Please confirm your choice by again clicking on your chosen option.,0,1,regular beer (4.5% ABV),0,1,non-alcoholic beer (0.0% ABV)       and £ 0.15,0,1,or,0,1,Click on the answer of your choice,0,1,Which option would you prefer right NOW?,0
51121,9:43:39,919575683,54,5.0.14.0,1,1,start,base_q,0,500,0,0,NA_n,0,11245,1,regular beer (4.5% ABV),1,1,non-alcoholic beer (0.0% ABV),1,1,or,1,1,Click on the answer of your choice,1,1,Which option would you prefer right NOW?,1,0,0,0
51121,9:43:39,919575683,54,5.0.14.0,1,2,start,check_NA,0,500,0,0,NA_n,0,12349,1,You chose non-alcoholic beer.       Please confirm your choice by again clicking on your chosen option.,0,1,regular beer (4.5% ABV),0,1,non-alcoholic beer (0.0% ABV),0,1,or,0,1,Click on the answer of your choice,0,1,Which option would you prefer right NOW?,0
51121,9:43:39,919575683,54,5.0.14.0,1,3,start,trial_n,0,500,0,0,NA_n,1,11902,1,regular beer (4.5% ABV)       and £ 0.2,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),11903
51121,9:43:39,919575683,54,5.0.14.0,1,4,start,trial_n,0,500,0,0,NA_n,1,9036,1,regular beer (4.5% ABV)       and £ 0.3,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),9036
51121,9:43:39,919575683,54,5.0.14.0,1,5,start,trial_n,0,500,0,0,NA_n,1,6669,1,regular beer (4.5% ABV)       and £ 0.8,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),6669
51121,9:43:39,919575683,54,5.0.14.0,1,6,start,trial_n,0,500,0,0,NA_n,1,7172,1,regular beer (4.5% ABV)       and £ 0.85,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),7172
51121,9:43:39,919575683,54,5.0.14.0,1,7,start,trial_n,0,500,0,0,NA_n,1,1910,1,regular beer (4.5% ABV)       and £ 1.85,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),1910
51121,9:43:39,919575683,54,5.0.14.0,1,8,start,trial_n,0,500,0,0,NA_n,1,936,1,regular beer (4.5% ABV)       and £ 1.95,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),936
51121,9:43:39,919575683,54,5.0.14.0,1,9,start,trial_n,0,500,0,0,NA_n,1,1413,1,regular beer (4.5% ABV)       and £ 2.95,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),1414
51121,9:43:39,919575683,54,5.0.14.0,1,10,start,trial_n,0,500,0,0,NA_n,1,1030,1,regular beer (4.5% ABV)       and £ 3.45,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),1030
51121,9:43:39,919575683,54,5.0.14.0,1,11,start,trial_n,0,500,0,0,NA_n,1,797,1,regular beer (4.5% ABV)       and £ 3.65,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),798
51121,9:43:39,919575683,54,5.0.14.0,1,12,start,trial_n,0,500,0,0,NA_n,1,766,1,regular beer (4.5% ABV)       and £ 3.7,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),766
51121,9:43:39,919575683,54,5.0.14.0,1,13,start,trial_n,0,500,0,0,NA_n,1,1106,1,regular beer (4.5% ABV)       and £ 3.8,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),1106
51121,9:43:39,919575683,54,5.0.14.0,1,14,start,trial_n,0,500,0,0,NA_n,1,5917,1,regular beer (4.5% ABV)       and £ 3.85,0,1,non-alcoholic beer (0.0% ABV),0,1,Click on the answer of your choice,0,1,or,0,1,Which option would you prefer right NOW?,0,1,regular beer (4.5% ABV),5918
